Title,Report
"Cutaneous Nodular Dermatofibrosis of German Shepherds associated with Renal Cystic disease and
Neoplasia","Several cases of nodular dermatofibrosis (a recently described reputedly rare syndrome in German
Shepherds) have recently been diagnosed by VPS.
This syndrome presents clinically as multiple firm well circumscribed dermal and subcutaneous nodules
varying from several millimetres to 4cm in diameter. The overlying skin may show irregular thickening and
hyperpigmentation, and larger lesions are often alopecic and ulcerated.
The lesions are found primarily on the limbs, head and ears, usually middle aged or older.
The skin lesions are of particular interest because they may act as a marker for an internal malignancy,
specifically renal cystadenocarcinoma. A metastatic tumour of this type has been confirmed histologically
in a Sydney German Shepherd dog affected with dermatofibrosis.
Also, in keeping with overseas findings, non-neoplastic renal cystic disease has also been associated with
this condition in some of our cases.
The disease is reported to have a dominant mode of inheritance and overseas has been seen in cross bred
dogs with German Shepherd parentage. The relationship of the skin lesions in the development of renal
neoplasms is not understood, but in humans, several familiar syndromes of multiple cutaneous tumours
associated with specific internal malignancies exist. Cutaneous nodular dermatofibrosis is the first such
entity to be documented in animals."
Chlamydiosis in an Ostrich,"Chlamydial infection has received little attention as a potential disease problem in Australian ostriches, but
the recent finding at VPS of a positive chlamydial antigen rest on a nasal swab from a 12 months old
ostrich with catarrhal rhinitis and sinusitis may indicate the desirability of closer surveillance for this
disease. The bird was serologically negative for Aspergillus sp infection."
Catastrophic ILT mortality in chickens,"Tissues for histopathological examination were received following an investigation of the deaths of 130 of
a group of 140 bantam chickens which had dyspnoea as the salient clinical finding.
On histopathology, there was a severe diphtheritic tracheitis with formation of a necrotic exudative cast
containing exfoliated tracheal epithelial cells, many of which contained intranuclear inclusion bodies. The
tracheal mucosa was haemorrhagic, ulcerated and had mixed leucocytic infiltration. Numerous bacterial
colonies were also present in the cast. Similar changes were evident in larger airways in the lung.
A diagnosis of ILT (Infectious Laryngotracheitis) was made on the basis of the distinctive necrotising and
inflammatory changes in the trachea and typical herpes virus-type inclusion bodies.
This disease outbreak illustrates the catastrophic nature of the mortalities which can be associated with
infection of a virulent strain of ILT virus. In this case there was perivascular mononuclear cuffing in the
brain and heart reminiscent of that which may occur in fowl plague and avian influenza, possibilities which
are being investigated by the relevant authorities."
Larval Cyathostomiasis in Horses,"Several properties in the Adelaide area reported cases of chronic progressive weight loss in horses during
July and August of 1994.
The affected animals ranged in age from yearling to 3 years. The major presenting signs were weight loss,
with or without diarrhoea, anorexia and periodic elevation in body temperature.
Consistent findings were hypoproteinaemia, hypoalbuminaemia with severe hyponatraemia and
hypochloridaemia. Haemograms revealed low grade anaemia, leucocytosis with relative neutrophilia, high
fibrogen levels and, in some cases mild eosinophilia. Faecal floatations were negative and faecal cultures
did not yield significant pathogens. There was variable response to treatment with drenches, antibiotics
and steroids. However, the missing piece of the puzzle was found when one animal began excreting very
large numbers of small strongyle larvae in the faeces.
Small strongyles (cyathostomes) are ordinarily considered of little pathologic significance, particularly in
the adult form in the large intestine. The larval stages migrate into the intestinal mucosa and submucosa for
development, usually causing a moderate inflammatory reaction. However, in horses which have been
heavily infected in the previous year, a massive emergence of larvae during late winter and early spring can
cause profuse diarrhoea, ventral oedema and severe weight loss.
When the larvae are in the mucosa, faecal egg counts are usually negative. Once they emerge into the
lumen, treatment with febendazole or invermectin can be helpful. Management procedures, including
grazing horses with cattle, can help reduce the exposure of the horses to large burdens of larvae."
Gastric Botryomycosis in a Rhodesian Ridgeback,"A 15 month old Rhodesian Ridgeback dog was submitted to a local veterinary clinic with a history of
weight loss, vomition of bile and occasional melena. The dog was still eating and was bright and alert on
clinical examination. A range of biochemistry and a full blood count was done. Significant changes are
listed below:
Reference ranges
Total protein g/L 106 55-81
Globulin g/L 80 23-50
Eosinophils X 109 1.0 0.1-0.5
The elevated globulin indicated an antigenic response, with the eosinophilia suggesting hypersensitivity or
necrosis. On laparotomy multiple firm white nodules were found in the wall of the stomach and scattered
along mesentery and intestinal serosa. The dog was euthanased.
Histopathology revealed marked proliferation of dense connective tissue in the gastric submucosa with
granulomas composed of eosinophils, macrophages and lymphocytes scattered throughout the stomach
wall. In the centre of the granulomas were ""sulfur granules"" containing Gram positive cocci. The muscle
layers were hypertrophied.
9.
""Botryomycosis"" due to persistent low grade infection with Staphylococcus aureus has been reported in
horses and pigs. It is usually associated with skin wounds on the neck and pectoral region in the horse; and
castration wounds and mammary lesions in the pig. Dissemination to the lymph nodes and viscera has been
described in some early reports in the literature.
There were no obvious skin lesions in this dog at the time of presentation and no record of ingestion of a
foreign body. However, such portals of entry would need to be considered in a possible pathogenesis,
particularly in a young active puppy. I have been unable to find any descriptions of this condition in dogs in
the literature to date."
Balanitis in Border Leicester rams,"Balanitis was observed in 70% of 35 Border Leicester rams following an 8-week period of joining.
Bacterial and viral cultures were unrewarding and 3 serums gave negative reactions in viral neutralisation
tests for herpes viruses - the caprine and bovine varieties. Severe, subacute, segmental, necrotising and
ulcerative balanoposthitis was found histologically. Exudation was fibrinohaemorrhagic and the underlying
inflammatory response was dominated by plasma cells."
Toxoplasmosis in ewes,"Toxoplasmosis was diagnosed as the cause of late term abortion in 15 of 320 Crossbred ewes. Microscopic
lesions included multifocal leukoencephalomalacia, mild multifocal non-suppurative encephalitis and non-
suppurative placentitis associated with numerous Toxoplasma gondii.

Pasteurella haemolytica Type T caused bacteraemia in weaner sheep.
Associated histopathological lesions included acute multifocal necrotic hepatitis, sub-acute multifocal
suppurative embolic pneumonia and acute segmental fibrinous pleuritis"
Malignant Catarrhal fever in cattle,"Malignant catarrhal fever was diagnosed in 2 of 25 Angus cattle. Depression, pyrexia, dyspnoea, bilateral
nasal discharge and opacity of the sclerocorneal junction were observed clinically. The pathognomonic
non-suppurative and fibrinoid vasculitis was found histologically in portal triads, brain, leptomeninges, oral
mucosa, oesophagus and lymph nodes. In the more acute of the two cases, moderate, acute, multifocal
necrotising lymphadenitis was an additional observation."
Coccidiosis in wombat and kangaroo,"Coccidiosis caused disease in a 14-month-old male wombat and a 16-month-old female Eastern Grey
kangaroo. The former had numerous very large oocysts, schizonts and macrogametocytes within the
lacteals of the ileum. Eimeria (Globidium) tasmania is the most likely aetiological candidate. Eimeria
kogoni was the possible cause in the latter. The kangaroo also had evidence of a disseminated T. gondii
infection in the form of moderate to severe, chronic, multifocal, non-suppurative myositis and interstitial
myocarditis. Lesser non-suppurative inflammation was also noted in the intestinal tunica muscularis, portal
triads, lungs, kidneys and thyroid gland."
Dermatophytosis in cats,"Dermatophytosis was associated with interesting pathological changes in two cats.
Material for histological examination, only, was submitted from the first case, which was a 4.5 year-old
speyed Domestic Long Hair. It had severe chronic granulomatous peritonitis associated with prominent
mycetomas. A mycetoma was found in the hypodermis of one skin section , along with mild hyperplastic
dermatitis and numerous fungal hyphae and spores in the superficial epidermis. The Department of
Microbiology at the Royal North Shore Hospital placed Pseudallescheria boydii “at the top of the list of
suspects” for the peritoneal fungi. Microsporum canis was recovered from lesions of severe chronic
granulomatous lymphadenitis and chronic granulomatous nodular dermatitis in a 4.5 year-old male Persian"
Ectopia cordis in a calf ,"A neonate Angus-cross calf which had died 1½ hours after birth was presented to the laboratory. The heart
was globose and displaced ventrally outside the body through an 8cm long by 2cm wide defect in the
sternum. Developmental abnormalities in the heart included:
* an atrial septal defect (3cm diameter foramen ovale)
* dilation of the right ventricle with thickening of interventricular septum and right ventricular wall.
The dorsal and ventral surfaces of the cusps of the tricuspid valve were thickened, red and granular
with tangles of red thrombi extending over the cusp surfaces and around the corda tendinae.
* There were three circular interventricular septal defects 5 to 10mm in diameter; one in the
craniodorsal septum under the anterior of the a/v valve adjacent and caudal to the pulmonary
outflow; the other two were near the ventricular apex.
12.
* the aorta was completely transposed to the right of and anterior to the conus arteriosus. The aortic
trunk exited in front of the pulmonary artery and extended as a 14cm long vessel to the dorsal
thorax where it branched to form the brachiocephalic trunk and descending aorta.
* Left ventricular hypoplasia (50mm deep, 40mm wide). It had a narrow a/v opening (15mm in
diameter) and drained to the right ventricle through the three interventricular septal defects.
It is interesting that the calf survived for 1½ hours after birth, considering the severity of the abnormality."
Rhabdomyosarcoma in a koala,"An adult female koala had haemathorax with collapse of the right lung and left displacement of the thoracic
organs. The source of the haemorrhage was a solid pale grey multinodular tumour - 2cm x 3cm in right
dorsal diaphragm, adjacent to the costal wall. It infiltrated lumbar muscles. The tumour was composed of
whorls and fascicles of closely packed plump, round to fusiform cells with even eosinophilic cytoplasm and
a single nucleus. Multinucleated giant cells were evident in several areas through the tumour. Cross
striations were not evident in these cells when stained by PTAH: whether the freeze/thaw affected this
result is unknown. However, the site of the tumour and its pleomorphism is consistent with
rhabdomyosarcoma. Rhabdomyosarcomas are very unusual tumours in koalas; we are unaware of any
previous records of rhabdomyosarcoma in koalas."
Fatal anaphylaxis in a kitten,"A 4-month-old kitten was found dead in the early morning after being apparently normal the night before.
At necropsy the lungs were diffusely dark red and on histological examination there was marked
congestion, thick proteinaceous fluid in many alveoli and larger airways, dilation of pulmonary lymphatic
vessels, and a moderate increase in alveolar macrophages; no haemosiderin was seen. Dilation of lymphatic
vessels was also seen histologically around the mesenteric lymph node. Sections of liver, intestine, kidney,
spleen and brain were normal.
The thickness of the alveolar fluid seen here suggested a substantial increase in capillary permeability. This
is in contrast to the more familiar low protein pulmonary oedema fluid commonly seen with congestive
heart failure. On further discussion with the owner, it was learned that there was a bee hive on the
neighbour's property. It was felt, therefore, that the kitten had suffered a type I hypersensitivity reaction to a
bee sting, presumably following sensitisation from previous stings, and that death was due to the ensuing
exudative response possibly accompanied by bronchospasm. While the main organ manifesting anaphylaxis
in the cat is said to be the lungs, the gastrointestinal tract can also be involved; this can cause vomiting,
although this does not appear to have occurred here because the stomach was still full."
Castration-responsive dermatosis,"A 6-year-old male Keeshond had been developing symmetrical alopecia and hyperpigmentation over the
back and ventrum for 18 months; four skin biopsies were submitted. The most striking changes were
hyperpigmentation of the basal layer of the epidermis, diffuse pigmentation of all other epidermal layers,
follicular hyperkeratosis, and the presence of numerous 'flame follicles' (follicles in which bright orange
spikes of keratin radiate from the centre through the outer root sheath). Other changes included slight
acanthosis, moderate hyperkeratosis, and dilation of the apocrine sweat glands; all hair follicles were in
telogen.Individually, these changes can be seen in a range of endocrinopathies and other 'atrophic' skin diseases.
However, the breed, history, prominence of flame follicles and finely granular (as opposed to clumped)
melanin led to a tentative diagnosis of castration-responsive dermatosis. This is a condition to which the
Spitz-type breeds are predisposed; it is also referred to as adult-onset growth hormone-responsive
dermatosis. This dog was castrated and within a few weeks, extensive regrowth of hair had occurred, much
to the owner's delight."
Cerebellar abiotrophy in laboratory mice,"Occasional mice in a colony of C57BL/6 mice homozygous for the severe combined immunodeficiency
(scid) gene were seen to display a continuous rapid fine motor tremor (possible intention tremor), ataxia
and a tendency to fall to one side. They were in good body condition and had been shown to be fertile. On
necropsy the cerebellum was found to be about 2/3 normal diameter; histological examination revealed
thinning of the cerebellar molecular layer, at least a 50% reduction in the number of Purkinje cells, and
occasional shrunken, markedly basophilic Purkinje cells.
Several mutations are described in mice in which cerebellar abnormalities are a major finding; these are
given descriptive names such as lurcher, reeler, teetering, jolting and vibrator. It is uncertain at this stage
whether the condition in these mice is a previously undescribed mutation."
Multifocal hepatic necrosis - Poultry,"There was a sudden increase in mortalities and decrease in production in a 26 week old layer flock near
Tamworth. Birds appeared febrile and often died quickly and quietly. There was a good response to
antibiotics but the problem recurred when treatment stopped.
The typical gross lesions were multiple whitish foci of varying size, 1 to 5mm in diameter throughout the
liver. Some birds had petechial haemorrhages in some visceral organs.
On histopathology the significant lesion was found in the liver and consisted of acute multifocal hepatic
necrosis infiltrated by low to moderate number of heterophils and macrophages. Some of these foci were
progressing to form granulomas. In other places in the liver there were small foci of coagulative necrosis of
hepatocytes with no or very little inflammatory cell response.
Routine bacteriologic examination of the livers was negative.
The findings suggested a bacterial aetiology and more livers were cultured using selective media for
Salmonella, and selective media and microaerophilic atmosphere for Campylobacter without success.
Silver and gram stains of liver sections were also negative.
The aetiology is not known although avian spirochetosis is suspected because the shed was infested with
Argas persicus."
Visceral larva migrans - Pig,"Formalin fixed tissues were submitted from a 13 week old piglet which was euthanased following ill thrift
and inco-ordination affecting all four limbs. At post mortem there were large numbers of Ascaris worms in
the small intestine. Histologic examination of the spinal cord revealed extensive multifocal haemorrhages
in the ventral horn of the grey matter, surrounded by macrophages and a few eosinophils. Many large
neurons were necrotic. In the white matter there was axonal swelling and Wallerian degeneration especially
14.
in areas close to the grey matter. In the liver there were multifocal granulomas with eosinophils. Lung was
not submitted.
A diagnosis of possible ""visceral larva migrans"" was made.
Internal parasitism caused by Ascaris suis is rarely seen today. The ingested eggs hatch in the intestine,
larvae reach the liver through the hepatoportal blood stream, and are carried by the blood to the lungs. Most
of the larvae are arrested in the capillaries in the lungs but some may pass through into the arterial
circulation and reach other organs where extensive migration may occur.
The piggery is semi-intensive, sows farrow in the paddock and weaners are brought into the shed at 6
weeks. Deaths have occurred sporadically since weaning; clinical signs included lethargy and progressive
weight loss over a number of weeks. The weaners were drenched several times with Nilverm. Re-
infestation, faulty drenching or drench resistance is being investigated."
"Drought, Metabolic Diseases and Plant Poisonings ","According to the August 1994 Weather Review for Armidale (compiled by Peter Burr, UNE), the winter
total of 57mm of rain was the lowest since the last major drought in 1982 when only 27mm was recorded
for the three months. The clear skies and lighter than usual winds resulted in warmer than normal day
temperatures and very cold overnight minimums, with minus 10.2°C being recorded one day in East
Armidale.
Predictably the weather conditions pedisposed pregnant and post-partum ewes and cows to metabolic
diseases such as pregnancy toxaemia (with losses up to 10% in some flocks) and hypocalcaemia and this
was reflected in submissions to the lab.
There have been reports of small losses due to enterotoxaemia in sheep on grain diets, especially in lot
feeding situations. Grain poisoning has also been encountered. In one case, sheep on one brand of pellet
suffered severe acidosis when a new batch was used. Sixteen died and up to 30% were sick out of a mob of
1200 ewes.
The drought has also resulted in more submissions and enquiries relating to plant poisoning, particularly in
the north west slopes and plains of NSW. Shaun Slattery, District Veterinarian at Narrabri, has seen a
number of cases of ""Mother of Millions"" (Bryophylum sp) in cattle and also suspected Quinine Bush
poisoning. There have been reports of rock fern poisoning in cattle also. Bill Hetherington (DV Moree) has
had his share of suspected plant poisonings as well. One case (AN94.3023.SL) involved 12 deaths in a
mob of 170 cattle at Gravesend on drought affected ""pasture"". Tree Tobacco (Nicotiana glauca) was the
main suspect and the cattle had been eating this as well as a variety of other plants, including Narrow Leaf
Cotton Bush (Gomphocarpus fruticosus). In South Africa, ostriches are reportedly the animal most
commonly poisoned by N glauca.
Of interest also have been cases of suspected ""Agave"" poisoning in cattle."
Suspected Agave Poisoning in Cattle,"We have had two cases of suspected Agave americana poisoning recently.
Peter Gough, private practitioner at Moree, rang the lab in August to discuss suspected Agave toxicity in
cattle on a property at Bellata. Four out of 13 Hereford cows in a particular paddock were first affected in
July. There was little feed and the cattle had clearly spent some time eating an Agave plant in the paddock.
Peter describes the hind limbs as being affected, the appearance being not unlike that of obturator paralysis
in 3 post-partum cow. The feet are flat on the ground but the pastern and the fetlock are further forward
15.
than normal. Of the 4 affected cows, two have completely recovered, one still walks with an abnormal hind
limb gait and the fourth is still down. This fourth cow is quite bright in demeanour, has no pressure sores,
and can half raise herself from the ground using her forelegs.
The second case occurred early in September and was investigated by Barraba veterinarian Lee Morris and
handled by Bob Coverdale at the lab (AN94.3452.ORC). Five to ten out of 23 Hereford cows on a Barraba
property were affected. There was no green feed available and some obviously had been eating Agave. Lee
describes the affected animals as being bright and walking on the hind toes with contracted fetlocks. Urine
was submitted from one animal and blood from three. Urinalysis and the haemograms were unremarkable.
Ca, Mg, P, creatinine, AST, CPK, GLDH, and AP estimates were done on the 3 serums. CPK’s were 1322,
271 and 916 (reference range: <200 U/L). Other analytes were unremarkable apart from marginally
elevated AST and GLDH in the animal with a CK of 916 U/L.
Everist tells us that the Avavaceae family has more than 650 species, mostly tropical or subtropical in
origin. One species of Agave has been reported as poisonous to livestock in North America (presumably A.
lechequilla, referred to by the Merck Veterinary Manual (MVM)) but this plant is not known to occur in
Australia. Several species are common garden plants in this country and two (Agave Americana, Century
Plant, and A. sisalina, Sisal) are semi-naturalised, the first in tropical and subtropical inland areas, and the
second in coastal central Queensland (Everist 1981).
According to Everist there is no positive evidence of toxicity for either A. americana or A. sisalina apart
from reports of persistently painful skin wounds in people caused by the leaf tips. Blood and Studdert
(1988) state that A. americana contains a toxic saponin and can cause poisoning. Regarding A. lechequilla ,
they say it contains an exogenous photodynamic agent and causes dermatitis but without signs of liver
damage. The MVM records A. lechequilla as containing an unidentified hepatotoxin (causing
photosensitivity) and a toxic saponin with an abortifacient action. (Camp et al (1988) state that the toxin has
been identified as a steroidal saponin, similar to those identified in Panicum spp, and responsible for
hepatogenous photosensitisation). Sheep, cattle and goats are affected, usually during drought. The course
is subacute with signs such as listlessness, inappetance, icterus, yellow oculonasal discharge,
photosensitisation, coma and death occurring.
Ross McKenzie (Principal Veterinary Pathologist, Animal Health Laboratories, DPI, Yeerongpilly, Qld.
advises us that he has one case of suspected A. americana on file. This involved 7 out of 100 cattle ""on the
road"" at Roma during a drought in December 1991. Stiffness, abnormal gait and tucking of the hindlegs
under the body were observed. All affected animals recovered. Clinical pathology revealed markedly
elevated CK and AST. Ross adds that Steyne (1950) produced paralysis of the hindquarters in a rabbit with
100ml of A. americana juice twice daily for 3 days. After no improvement on day 6, the rabbit was killed
and necropsied, the findings being gastric hyperaemia and a pale liver, Ross McKenzie further informs us
that Watt and Breyer-Brandwijk (1962) make reference to Steyne producing bloat, cyanosis, dyspnoea and
tachycardia in sheep using A. americana. Leaf extracts are apparently used in folk medicine in Africa as
purgatives and diuretics.
It appears likely then that, when consumed in sufficient quantities, Agave americana can cause poisoning in
cattle and other animals, this toxicity presumably manifesting itself as a myopathy and mainly affecting the
hindlimbs. Most cases seem to recover."
